Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
99,1786655082932,1299,741,1300,1300,1300,1300,1299,1299,31.57894515991211,78.94737243652344,35,22.22222328186035,70,31.57894515991211,45,45.45454788208008,0,197594.9345703125,44779.07684326172,18700.14288330078,8095244288,4294963200,6312947712,3531694080
105,1786655083032,1299,741,1300,1300,1300,1300,1299,1299,31.57894515991211,78.94737243652344,35,22.22222328186035,70,31.57894515991211,45,45.45454788208008,0,197595.60614013672,44779.391174316406,18700.16571044922,8095244288,4294963200,6315347968,3531694080
100,1786655083137,1299,741,1300,1300,1300,1300,1299,1299,85,80,85,80,85.71428680419922,85,94.73684692382813,81.81818389892578,0,197596.43823242188,44779.810974121094,18700.20001220703,8095244288,4294963200,6316531712,3531694080
99,1786655083239,1299,741,1300,1300,1300,1300,1299,1299,85,80,85,80,85.71428680419922,85,94.73684692382813,81.81818389892578,0,197597.16387939453,44780.203063964844,18700.227478027344,8095244288,4294963200,6321745920,3531694080
99,1786655083338,1299,741,1300,1300,1300,1300,1299,1299,80.95238494873047,90,95,80,85,94.73684692382813,85.71428680419922,84.21052551269531,0,197597.88903808594,44780.55773925781,18700.265014648438,8095244288,4294963200,6322032640,3531694080
99,1786655083439,1299,741,1300,1300,1300,1300,1299,1299,80.95238494873047,90,95,80,85,94.73684692382813,85.71428680419922,84.21052551269531,0,197598.53253173828,44780.83654785156,18700.300170898438,8095244288,4294963200,6343159808,3531644928
99,1786655083539,1299,741,1300,1300,1300,1300,1299,1299,50,50,89.47368621826172,38.88888931274414,50,54.54545593261719,63.15789031982422,40,0,197599.20440673828,44781.145568847656,18700.32696533203,8095244288,4294963200,6360440832,3531644928
100,1786655083639,1299,741,1300,1300,1300,1300,1299,1299,50,50,89.47368621826172,38.88888931274414,50,54.54545593261719,63.15789031982422,40,0,197599.80151367188,44781.38830566406,18700.34832763672,8095244288,4294963200,6373707776,3531640832
99,1786655083739,1299,741,1300,1300,1300,1300,1299,1299,45,30.000001907348633,20,15.000000953674316,15.000000953674316,15.789472579956055,42.85714340209961,15.789472579956055,0,197600.21551513672,44781.484619140625,18700.351806640625,8095244288,4294963200,6376181760,3531640832
100,1786655083839,1299,741,1300,1300,1300,1300,1299,1299,45,30.000001907348633,20,15.000000953674316,15.000000953674316,15.789472579956055,42.85714340209961,15.789472579956055,0,197600.57971191406,44781.54327392578,18700.351989746094,8095244288,4294963200,6376177664,3531632640
99,1786655083939,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,9.523809432983398,5,0,5.263157844543457,5,0,10,0,197600.93963623047,44781.59606933594,18700.351989746094,8095244288,4294963200,6375661568,3531632640
99,1786655084039,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,9.523809432983398,5,0,5.263157844543457,5,0,10,0,197601.3500366211,44781.697021484375,18700.351989746094,8095244288,4294963200,6375661568,3531632640
99,1786655084139,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,10,10.526315689086914,15.000000953674316,15.789472579956055,5.555555820465088,80,14.285715103149414,0,197601.88116455078,44781.91052246094,18700.351989746094,8095244288,4294963200,6375399424,3531632640
99,1786655084239,1299,741,1300,1300,1300,1300,1299,1299,10.526315689086914,10,10.526315689086914,15.000000953674316,15.789472579956055,5.555555820465088,80,14.285715103149414,0,197602.29565429688,44782.018005371094,18700.353393554688,8095244288,4294963200,6375383040,3531632640
99,1786655084339,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,10,5,0,9.090909004211426,0,25,5.555555820465088,0,197602.64959716797,44782.070068359375,18700.353393554688,8095244288,4294963200,6375383040,3531632640
99,1786655084440,1299,741,1300,1300,1300,1300,1299,1299,5.263157844543457,10,5,0,9.090909004211426,0,25,5.555555820465088,0,197603.00134277344,44782.11828613281,18700.353393554688,8095244288,4294963200,6375383040,3531632640
99,1786655084540,1299,741,1300,1300,1300,1300,1299,1299,5,5,0,9.523809432983398,0,5.263157844543457,5,5.263157844543457,0,197603.36358642578,44782.17761230469,18700.353393554688,8095244288,4294963200,6375383040,3531632640
99,1786655084640,1299,741,1300,1300,1300,1300,1299,1299,5,5,0,9.523809432983398,0,5.263157844543457,5,5.263157844543457,0,197603.74127197266,44782.246643066406,18700.35760498047,8095244288,4294963200,6373285888,3531632640
